id,label,left_name,left_brewery,left_primary_style,left_secondary_style,left_abv,left_is_amber,left_is_ale,left_is_lager,left_is_imperial,left_special_ingredients,right_name,right_brewery,right_primary_style,right_secondary_style,right_abv,right_is_amber,right_is_ale,right_is_lager,right_is_imperial,right_special_ingredients
0,0,C N Red Imperial Red Ale,Redwood Lodge,American Amber / Red Ale,,8.1,True,True,False,True,,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,,9.3,True,True,False,True,
1,1,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber/Red Ale,,5.6,True,True,False,False,,Sanibel Red Island Ale,Point Ybel Brewing Company,Irish Ale,,5.6,True,True,False,False,
2,0,Kniksen India Red Ale,7 Fjell Bryggeri,American Amber / Red Ale,,6.8,True,True,False,False,,Boneyard Skunkape India Red Ale,Boneyard Beer Company,India Pale Ale (IPA),,6.5,True,True,False,False,
3,0,Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,American Amber/Red Ale,,unknown,True,True,False,False,Buffalo Trace Bourbon Barrel,Ballast Point Calico Amber Ale - Rum Barrel Aged,Ballast Point Brewing Company,Amber Ale,,5.0,True,True,False,False,Rum Barrel
4,1,unknown,unknown,unknown,unknown,unknown,False,False,False,False,unknown,unknown,unknown,unknown,unknown,unknown,False,False,False,False,unknown
5,0,Redeemer Imperial Red Ale,Boston Beer Works,American Amber/Red Ale,,8.2,True,True,False,True,,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House and Brewery,American Strong Ale,,8.6,True,True,False,True,Organic
6,0,Big Axe Red Ale,Big Axe Brewing Company,American Amber/Red Ale,,6.8,True,True,False,False,,Regatta Red Ale,Big Spruce Brewing,Amber Ale,,unknown,True,True,False,False,
7,0,unknown,unknown,unknown,unknown,unknown,False,False,False,False,unknown,unknown,unknown,unknown,unknown,unknown,False,False,False,False,unknown
8,0,Merry Prankster Imperial Red Ale,Rock Bottom Restaurant and Brewery,American Amber/Red Ale,,4.56,True,True,False,True,,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,American Strong Ale,,7.8,True,True,False,True,
9,0,Extra Special Red Ale,Alpha Brewing Company,American Amber / Red Ale,,5.0,True,True,False,False,,Ecliptic Phobos Extra Red Ale,Ecliptic Brewing,Amber Ale,,5.2,True,True,False,False,
